sts12,sts13,sts14,sts15,sts16,stsb,sick,avg,best-step,best-stsb
68.12547661881926,82.64090654329483,74.906006018089,82.7003531408399,80.95359500984739,81.45863713268703,71.0287034604884,77.40195398915226,1953,84.55558059470152
66.02787628657825,81.26058268996105,73.64760100020314,82.57257217772356,80.3532200633914,80.41887634386333,71.50287021870353,76.54051411148917,1953,84.12709044134465
67.1353455283115,82.12227631752681,73.88057459721075,82.97583335686569,81.27500087640736,80.96852985437944,68.98330797523374,76.76298121513362,1953,84.51633305871957
67.00375968608773,81.13687687776802,72.96497108204099,81.90903683665503,80.25495771801357,80.47484402037351,70.53837379664675,76.32611714536938,1250,84.4378993746984
66.1877861760669,81.66135052263198,73.97235157434856,82.78127772696016,80.54791354352596,80.30687020773514,71.92985329818539,76.76962900706486,1953,84.87720466007409
63.94291544433288,81.14274147254068,72.8716465730283,82.20197824012273,80.36335350805585,79.23239454233604,71.14250778145707,75.84250536598195,1953,83.4247570385074
67.0927339959148,82.38559852685128,74.36333029832983,83.30810433849759,80.78999980356734,81.12871821236925,70.72618196203716,77.11352387679531,1750,85.06210603322809
66.08050755077306,82.10751205029263,73.78899200468945,82.69339689123835,81.10059581119073,80.66406765501654,71.04497314982078,76.78286358757451,1953,84.55697810456275
66.45648902197438,81.739258328573,73.13376898093364,82.41131528796082,80.04727358299769,79.11488267158937,68.19483202012347,75.87111712773606,1953,83.80270907869556
67.96214264359769,82.56000638290112,74.53461536263531,82.79989648773164,81.02215853468569,81.03665962650426,71.04771773595634,77.28045668200173,1953,84.48551524385756
67.17157697361755,82.08211228691265,74.35633021729335,83.14243657946527,80.92091113921481,81.37292978451838,70.08021623477522,77.01807331654246,1953,84.82708007032242
67.0154237307038,82.02887592382922,74.1759523873047,82.57226495760112,80.07319951319752,80.32396627538837,69.62564966327258,76.54504749304247,1750,84.28873539275519
65.59628468492932,81.67393188333116,73.62956358334488,82.09086600034084,80.74429769450029,80.65734028184094,72.05073250590044,76.63471666202683,1953,83.93023212043722
67.12387310275486,81.55849545619532,73.74572797600743,82.20628837165162,80.7778214279454,80.63974208935795,71.02919030397842,76.72587696112728,1750,84.04944801049355
66.67859082682561,82.42745856901922,74.44436280818955,83.19232427811785,80.17500205019323,80.7698302170752,71.36119468315275,77.00696620465335,1953,84.45263105746275
