sts12,sts13,sts14,sts15,sts16,stsb,sick,avg,best-step,best-stsb
68.75030159562378,82.6870976032203,74.78633030480533,83.63317025118977,79.22363908060494,77.89636383986445,73.95649643677315,77.27619987315452,15500,83.35175253972761
66.71112219618817,81.29999450577068,73.04474299721612,81.46398495702229,77.85440510897122,76.46545284821894,69.64467317993316,75.2120536847601,10500,82.55229540438384
65.00231617756802,80.4261946177029,71.87543383067704,81.49355820090905,74.75560464026121,75.07742611170917,73.94549132264221,74.65371784306707,15625,80.96828737174121
64.95159192854076,79.492213634212,71.29391463298317,82.42950243936846,77.3794641444404,76.4510999123342,73.95821386636618,75.13657150832076,15500,81.70085495914444
63.29505373103444,79.17863816246243,68.80065609432762,78.89023733141974,74.80452902090524,71.96654860934821,70.58062162823752,72.50232636824788,14750,79.09215127185894
68.60254834651516,83.39037652826941,74.46170219426219,83.31646141935792,79.34200260074603,77.96118948400355,71.14871641321352,76.88899956948111,9750,83.59561409591946
68.2286165230287,83.76153008872164,75.18339895284835,82.30904216458659,77.82811068968537,78.18015622637824,73.33322758360511,76.97486888983629,14750,83.38036359150091
69.12272459432447,80.97321021628422,73.2948300492297,82.99786781026374,77.75428010783739,77.21578334162807,72.62205844418554,76.28296493767903,11250,82.7848277712626
65.41516885688925,76.71724280164,66.71986539411124,79.83680589798922,76.72454845844793,74.52884030367099,69.12937451905366,72.72454946168605,12250,80.8767931804862
68.97053762142677,80.91426656335045,74.07389084659638,82.82280773782428,78.38179919140981,78.11738375050982,74.31210618520562,76.79897027090331,13250,82.92368249342225
66.53458274440383,81.7573901916052,73.45771188152432,82.54010724698773,76.90653709943973,77.18199116524167,74.43826860261498,76.1166555616882,13500,82.84380039449594
67.2734113664775,82.56360479320304,73.63803804962618,82.20157478612661,77.91712191967291,77.19988325651876,74.00264499163212,76.39946845189388,15000,81.970694469207
66.39028230431246,80.32025484220318,72.0756130823864,81.8235771420462,77.16876511040753,76.42078458387955,71.46215845752492,75.09449078896576,13000,82.02935162712464
61.4556019496583,80.74310516956976,67.38844491290773,76.37049241820267,69.34629230423981,69.26057407824212,67.57539003195635,70.30570012353952,10500,75.24860015050265
