sts12,sts13,sts14,sts15,sts16,stsb,sick,avg,best-step,best-stsb
65.12938908341627,79.49088654313309,71.49945730118483,79.82422716648452,79.28402107150936,79.40978640253437,68.6760272697953,74.75911354829397,1953,83.80466068146588
64.57230291587278,79.97438382995209,71.4901911028389,80.11643819926296,78.67381002538987,78.81891238352422,68.86264818690748,74.64409809196404,1953,83.68091557827445
65.0698498394627,79.6888812559089,71.47731539287511,80.24734301426565,79.0267501501922,79.04114568615101,68.51836925327018,74.72423637030367,1953,83.65072534391672
65.0288113448068,80.11045445788608,71.02155569035995,79.39486929586441,78.4920670645123,78.03773557381581,67.64937944350213,74.24783898153534,1953,83.43329352126683
64.99547675058822,80.62600620291957,71.80876007919042,80.14988240761232,78.41526836463919,78.67049738673475,68.53990379545544,74.74368499816285,1953,83.69000028205281
65.2305474146164,79.9734163328565,71.54084065022661,80.36234189073598,78.86839660726027,79.11550208105092,68.66900010396894,74.82286358295937,1953,83.86545058106888
64.8097943643848,80.00760686521767,71.78739231990929,79.35277722506228,79.40383067582668,79.21240369755057,68.82559640065053,74.77134307837169,1953,83.94838675930045
65.18416816855586,80.35755378552713,71.86748567179394,79.87327923931169,78.97725370000869,78.8212365434343,67.99730706121238,74.72546916712056,1953,83.67442713963301
64.75096079734381,80.23681363575729,71.52915591592243,80.15508249562635,78.29954351446996,78.30933242026917,68.33433251102264,74.51646018434452,1953,83.58877049689056
64.31472106247742,79.8942160988476,71.22474248776865,79.55872015505592,78.74865924136034,78.40990513737192,68.73195433784663,74.41184550296121,1953,83.30438720454919
64.17092866740894,79.69328312746553,71.28393943291292,80.03239865839434,78.21832505385244,78.25030801304344,68.52487106200829,74.31057914501227,1953,83.43623711760428
65.71655421653944,80.43736277575529,71.77338896972297,79.71381936671415,78.63122730252917,78.91118812921522,68.21840141109534,74.77170602451022,1953,83.83976141743302
64.25259979493534,79.54473148448888,71.10431975014147,80.01434082688915,78.3956373922878,78.24333919845792,68.74476669455268,74.32853359167903,1953,83.35759257934508
64.53169220350809,80.13877363349376,71.71286624380363,79.73462452775347,79.32085281369513,79.36111786177966,68.39052989812382,74.74149388316538,1953,83.77947916942591
65.40352552190336,80.1771904038575,71.40531455974426,79.51271825035514,78.48258180024804,78.18300518920122,68.29033418432402,74.49352427280478,1953,83.51171775994113
64.73592757472663,80.17465305953418,71.72926527955622,79.98172230184291,78.85369207607195,78.89357596336788,68.47261694907178,74.6916361720245,1953,83.84143223709142
65.348591903928,80.23503843784934,71.5157536571438,79.48738850762349,78.59988932847145,78.39709156227921,68.3815838735622,74.56647675297965,1953,83.57764451056472
64.04505136376946,79.68500484329721,71.02055115518739,79.59160984928201,78.8652057123175,78.41486820149689,68.27794852936253,74.27146280781615,1953,83.36554833802303
64.50015794690549,79.92236391162596,71.41371178206501,80.07725785033402,78.89730802720588,78.84426739671245,68.88915255546061,74.6491742100442,1953,83.45266542075659
65.31453022004781,80.09386411593002,71.65812123650058,79.7128921871042,78.6026267266827,78.48886609942663,67.88858516668843,74.53706939319719,1953,83.54404733435403
64.66389726431221,80.17183605400568,71.66789276933537,80.34469420616998,78.70725458844822,78.85573196946822,68.628108954087,74.71991654368954,1953,83.76060815996155
65.16768072292288,80.19873852337102,71.70556178400734,79.7155443794617,78.90041719787845,78.95532861271163,68.09617461849693,74.67706369126428,1953,83.85803901011778
66.1710750697754,80.36121753349492,71.81905682575608,80.0644911223394,79.02232025693871,79.07317538605916,68.08749470526203,74.94269012851795,1953,83.8413416676339
65.65265455141284,80.57162599739908,71.7973543756716,80.12407911478046,78.50895356552907,78.71672677366305,68.10077131878695,74.78173795674901,1953,83.6331859043738
66.11681260501187,80.36122429547574,72.31986884743135,79.93000903727953,78.97988821320119,79.25280069383518,67.84616561176642,74.97239561485733,1953,84.07876674251551
65.99626542306373,81.17798028987335,72.25940361213465,80.5119047715554,78.84301392455298,78.97184306770846,68.23763310674035,75.14257774223269,1953,84.00977861661426
65.65834030883916,80.22445398047539,71.64342111849,79.6971427180558,78.59378846576473,78.61192425045547,67.82227037088634,74.60733445899528,1953,83.54627918642807
64.8586420642265,79.98419475231142,71.37430790127283,80.01707360507396,78.74680001421326,78.52012634801032,68.36783672163266,74.55271162953441,1953,83.63747800381375
64.60333265248956,79.93366371539022,71.4645762152657,79.8881803862463,78.5387187122259,78.65176171493036,69.04487669249241,74.58930144129148,1953,83.67943497227047
65.6881038595995,80.49032171967889,71.9018354608155,80.11396853169217,78.79995399032877,78.86352177647615,68.12839828783426,74.8551576609179,1953,83.92010827003428
64.597833145759,80.20257505774305,71.82005898051642,80.59612755115711,78.71033384220043,78.83078882692047,68.87694974818982,74.8049524503552,1953,83.69112163513984
64.33495647154695,79.91834088894122,71.42646884315491,79.73279778961864,79.14889765238206,79.05909389995696,69.13650798881463,74.67958050491647,1953,83.61222531734744
